input_hex,input_dec,output_hex,output_dec
0x02B3,691,0xEE44,60996
0x02B4,692,0x8B30,35632
0x02B5,693,0x5B68,23400
0x02B6,694,0x6E91,28305
0x02B7,695,0x16AD,5805
0x02B8,696,0xA1E5,41445
0x02B9,697,0xDFDF,57311
0x02BA,698,0x680E,26638
0x02BB,699,0x4765,18277
0x02BC,700,0x1B4E,6990
0x02BD,701,0x3416,13334
0x02BE,702,0x4BF0,19440
0x02BF,703,0xCCFF,52479
0x02C0,704,0xA381,41857
0x02C1,705,0xDD22,56610
0x02C2,706,0xB32A,45866
0x02C3,707,0xD7A0,55200
0x02C4,708,0x5DF7,24055
0x02C5,709,0xB26F,45679
0x02C6,710,0xFA27,64039
0x02C7,711,0x7F19,32537
0x02C8,712,0xD148,53576
0x02C9,713,0xF72A,63274
0x02CA,714,0xE439,58425
0x02CB,715,0x5C09,23561
0x02CC,716,0x7304,29444
0x02CD,717,0x1AD6,6870
0x02CE,718,0x6565,25957
0x02CF,719,0xCB8F,52111
0x02D0,720,0xDB24,56100
0x02D1,721,0x76CD,30413
0x02D2,722,0xE30D,58125
0x02D3,723,0x2EB7,11959
0x02D4,724,0x4433,17459
0x02D5,725,0x69C3,27075
0x02D6,726,0x74ED,29933
0x02D7,727,0xB26F,45679
0x02D8,728,0x1331,4913
0x02D9,729,0x1980,6528
0x02DA,730,0xA60C,42508
0x02DB,731,0xCBDA,52186
0x02DC,732,0x9955,39253
0x02DD,733,0xF5B1,62897
0x02DE,734,0x7CC7,31943
0x02DF,735,0xE6E6,59110
0x02E0,736,0x680E,26638
0x02E1,737,0x7502,29954
0x02E2,738,0x7D0A,32010
0x02E3,739,0x52AD,21165
0x02E4,740,0xDD66,56678
0x02E5,741,0x99AA,39338
0x02E6,742,0xF5A0,62880
0x02E7,743,0x2B09,11017
0x02E8,744,0x0110,272
0x02E9,745,0xD683,54915
0x02EA,746,0xE02C,57388
0x02EB,747,0x5621,22049
0x02EC,748,0x6262,25186
0x02ED,749,0x8DAF,36271
0x02EE,750,0xFE89,65161
0x02EF,751,0xC8AE,51374
0x02F0,752,0x4D6F,19823
0x02F1,753,0x1F2C,7980
0x02F2,754,0x47B8,18360
0x02F3,755,0xB865,47205
0x02F4,756,0xF33F,62271
0x02F5,757,0x82C6,33478
0x02F6,758,0x9584,38276
0x02F7,759,0xF4A1,62625
0x02F8,760,0x8D27,36135
0x02F9,761,0xD2A5,53925
0x02FA,762,0xD836,55350
0x02FB,763,0x9AA9,39593
0x02FC,764,0xE4A0,58528
0x02FD,765,0x9696,38550
0x02FE,766,0xCC00,52224
0x02FF,767,0x3829,14377
0x0300,768,0xC3A5,50085
0x0301,769,0x4A0E,18958
0x0302,770,0x7052,28754
0x0303,771,0x3333,13107
0x0304,772,0x9678,38520
0x0305,773,0xB784,46980
0x0306,774,0x208A,8330
0x0307,775,0x85F2,34290
0x0308,776,0xED9A,60826
0x0309,777,0xEBBE,60350
0x030A,778,0x2DE1,11745
0x030B,779,0x5984,22916
0x030C,780,0xE31C,58140
0x030D,781,0xAC17,44055
0x030E,782,0x856B,34155
0x030F,783,0x3201,12801
0x0310,784,0xD269,53865
0x0311,785,0x794A,31050
0x0312,786,0xC4C4,50372
0x0313,787,0xBBCC,48076
0x0314,788,0xD7B1,55217
0x0315,789,0x26AE,9902
0x0316,790,0xA17C,41340
0x0317,791,0xCF9A,53146
0x0318,792,0xDC76,56438
0x0319,793,0xED03,60675
0x031A,794,0xF22F,61999
0x031B,795,0x3157,12631
0x031C,796,0x65B8,26040
0x031D,797,0xD52A,54570
0x031E,798,0xC158,49496
0x031F,799,0xCCBB,52411
0x0320,800,0xEE33,60979
0x0321,801,0x2323,8995
0x0322,802,0x16DA,5850
0x0323,803,0xDD33,56627
0x0324,804,0x0F5A,3930
0x0325,805,0xD863,55395
0x0326,806,0xC07B,49275
0x0327,807,0xACCA,44234
0x0328,808,0xD6E5,55013
0x0329,809,0xEECC,61132
0x032A,810,0x07BC,1980
0x032B,811,0xC89D,51357
0x032C,812,0xF2E3,62179
0x032D,813,0xED74,60788
0x032E,814,0x5EA1,24225
0x032F,815,0x6024,24612
0x0330,816,0x7B7B,31611
0x0331,817,0x95B7,38327
0x0332,818,0x2F3E,12094
0x0333,819,0xF66F,63087
0x0334,820,0xCE20,52768
0x0335,821,0xC89D,51357
0x0336,822,0x975B,38747
0x0337,823,0x08E6,2278
0x0338,824,0x3B7F,15231
0x0339,825,0xBE27,48679
0x033A,826,0xB5E0,46560
0x033B,827,0x98DC,39132
0x033C,828,0xB685,46725
0x033D,829,0x1DA6,7590
0x033E,830,0x8C37,35895
0x033F,831,0x6798,26520
0x0340,832,0x0716,1814
0x0341,833,0x2AB3,10931
0x0342,834,0xFCA9,64681
0x0343,835,0x6688,26248
0x0344,836,0x9EF8,40696
0x0345,837,0x29A1,10657
0x0346,838,0x0A7D,2685
0x0347,839,0x4C4C,19532
0x0348,840,0xB44B,46155
0x0349,841,0x25AD,9645
0x034A,842,0xC941,51521
0x034B,843,0x0330,816
0x034C,844,0x3F1D,16157
0x034D,845,0xA40E,41998
0x034E,846,0xBCDA,48346
0x034F,847,0xCDEF,52719
0x0350,848,0xB821,47137
0x0351,849,0xA52D,42285
0x0352,850,0x44CC,17612
0x0353,851,0x3B91,15249
0x0354,852,0x1EF0,7920
0x0355,853,0x4325,17189
0x0356,854,0x1414,5140
